Latest education status,"City of Residence, current","Country of Residence, current",Gender,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
Master's degree,United Kingdom,Spain,Prefer not to say,"Udemy, W3Schools",PhD Student,Still learning,Work city same as residence,Pasay,"125,001 to 250,000",Contract fixed timeline,"Hybrid - Priority at Home, but would come to site if needed",Reports Developer/Data Generalist,Data Engineer,11 to 30,"Airbyte, Debezium",Sql,"Don't know, None",Dolphin Scheduler,"Power BI, R","None, IBM Websphere Cast Iton",N.A,Databricks,"Don't know, None","Apache Hadoop, Apache Spark, Apache Kafka, MongoDB, PostgreSQL, Oracle Database, Cloudera, Teradata","Google sheets, Excel, MS Teams","Python, SQL, Lookml",Amazon Q,Notion ,laptop,"No, I just found out now.",NONE,"Analytics Association of the Philippines, Community: SPARTA PH, DEVCON Community Group, DEVCON Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Regularly post content",none,none as of the moment,Academe,25 to 29
College degree,Rizal,Philippines,Male,MicrosoftLearn,"IT, BPO, and Business Services",Freelance but going back to employee,Work city same as residence,Lingayen,"15,000 and below",Full-time,Mostly work from home/ fully remote,Software Engineer,Biomedical Equipment Technician,2 to 3,"Azure Data Factory, Synapse Analytics","ACL, Azure Data Factory", ,Azure Data Factory,Looker,NA,_,None,none,none,"Google sheets, Excel, Google Drive, Zoom, Google Meet","DAX (Power BI), Python, R, Scala, SQL, VBA","Chatgpt, Copilot, Gemini",NA,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.", ,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,none at the moment,LinkedIn,Multinational employer,20 to 24
College degree,Cavite,Philippines,Female,Datacamp,Construction,Student/ New grad/ Career Break,NONE,None,,NA,.,na,  ,na,N/A,NONE, ,None,NONE,none,_,_,_,NONE,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord","Javascript, M language (Power Query), Python, R, SQL","Chatgpt, Copilot, Gemini",Databricks Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Analytics Association of the Philippines, Data Analytics Philippines, Data Science Philippines Discussion Group (Moderated), DEVCON Community Group, DEVCON Philippines, FTW Foundation, Power BI Philippines UG, Project SPARTA, Python Philippines, R User Group - Philippines, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,Regular knowledge check and ways to improve the newly learned skill each week otherwise add some more.,.,Multinational employer,25 to 29
Other - specify,"Caloocan, Philippines",Philippines,Male,"Freecodecamp, Khan Academy, W3Schools",Energy,Career shifter,Work city different from residence,Mandaluyong city,"15,001 to 25,000",Full-time,100% onsite,Data Engineer,Data Engineer,30+, ,"ACL, Azure Data Factory","AWS Redshift, Amazon DynamoDB and Amazon RDS",Amazon ec2,na,_,.,N/A,Google Cloud Platform (GCP),PostgreSQL,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet",SQL,Chatgpt,Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Analytics Association of the Philippines, Power Apps Pilipinas Community, Power BI Philippines UG","Career advancement, Upskill / Skill acquisition",Answer surveys,N/A,Facebook,Local employer,25 to 29
College degree,"Caloocan, Philippines",Philippines,Male,"Coursera, edX, IBM Skills Gateway, Udemy, W3Schools",Unemployed,Career shifter,Work city different from residence,Tuguegarao City ,"250,001 and above",Other - specify,Unemployed,Unemployed,"Management, Software Engineer, Analytics Engineer",1 - Just me,none, ,  ,.,Power BI,.,None,_,None,"PostgreSQL, SQL SERVER","Google sheets, Excel, Google Drive, Asana, Google Meet, Slack","Javascript, Python","Chatgpt, Claude","Colab Notebooks, PythonAnywhere Jupyter Notebook",N/A,"No, I just found out now.",None,Power BI Philippines UG,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Resource for specific topic",Joining in the initiatives ,LinkedIn,Unemployed,35 to 39
College degree,"Davao City, Philippines",Philippines,Male,"Brilliant, Kaggle Online course, Power Up Program, Udemy, Zoomcamp",Not working,Student/ New grad/ Career Break,_,NONE,, ,NONE,NONE,na,NONE,.,_,.,.,.,N/A,"Don't know, None",none,_,MySQL,"Excel, Google Drive, Trello, Slack, Discord","Javascript, R","No, I do not use AI currently",_,workstation,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","[Manila] BIG DATA Tech Group, AI Design Philippines, AI Pilipinas, AWS AI/ML, Data Analytics Philippines, Data and Analytics Manila, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), DevOps Philippines, DEVCON Community Group, DEVCON Philippines, FTW Foundation, Java User Group Philippines, Philippine Data Platform Forums, Philippine Data Scientists Community - eScience, PizzaPy - Cebu Python Users Group","Continued learning, Upskill / Skill acquisition","Answer surveys, Co-training/ Training",N/A,NONE,None,30 to 34
College degree,"Manila, Philippines",Philippines,Prefer not to say,Datacamp,Education,Student/ New grad/ Career Break, ,na,,N/A,na,na,.,NA,NONE,NA,N/A,none,"Metabase, Looker, Power BI, Tableau","Don't know, None",N/A,N/A,None,NONE,Excel,"Python, R, SQL","Chatgpt, Gemini",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.",none,"Career advancement, Decision to shift","Answer surveys, Coordinate during events, Resource for specific topic, Volunteer for group initiatives",  ,NONE,Multinational employer,20 to 24
College degree,"Makati, Philippines",Philippines,Male,"Datacamp, HackerRank, LinkedIn Learning, Oracle University, Pluralsight, Udemy, W3Schools, Youtube bootcamp",Not working,Professional,Work city same as residence,Iligan City,"45,001 to 55, 000",Full-time,Hybrid,Business Analyst,"Management, Data Scientist, Machine Learning Engineer, AI Engineer",6 to 10,N/A,Pandas,none,None,_,none, , ,"Amazon Web Services (AWS), Google Cloud Platform (GCP)",None,"Google sheets, Excel, Dropbox, Google Drive, Trello, Zoom, MS Teams, Google Meet, Slack","DAX (Power BI), M language (Power Query)","Chatgpt, Gemini, Perplexity, Julius",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",.,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Regularly post content",na,LinkedIn,Local employer,20 to 24
College degree,"Davao City, Philippines",Philippines,Male,"Datacamp, Udemy, W3Schools",Education,Career shifter,Work city different from residence,Makati,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,Data Engineer,"Management, IT Operations",2 to 3,Don't know,Don't know,"Don't know, None","Don't know, None",Looker,"Don't know, None","Don't know, None","Don't know, None",Amazon Web Services (AWS),"Don't know, None","Google sheets, Excel, MS Teams",Python,"Chatgpt, Copilot",Deepnote Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups",Maybe to conduct weekly friendly session or presentation to improve communication skill of members and conduct a monthly or couple of meets and greet to widen network,Headhunter,Local employer,20 to 24
College degree,Pampanga,Philippines,Prefer not to say,"Datacamp, Freecodecamp, Google Analytics, Youtube bootcamp",Banking / Finance / Insurance,Career shifter,Work city same as residence,Davao City,"15,001 to 25,000",Full-time,Hybrid,Management,"Data Analyst, Product Advocate, Support",2 to 3,Don't know,"Pandas, dbt",NONE,N/A,Looker,none,NONE,  ,., ,"Google sheets, Excel, Google Drive, Zoom",Appscript (Google),"Chatgpt, Copilot, Gemini, Perplexity",Databricks Collaborative Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Data Analytics Philippines, Data and Analytics Manila, Data Ethics PH, Datasense Philippines, DEVCON Philippines, Digital Analytics Philippines, Power BI Users Meetup","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Mentor,N/A,My network  - people I know,Multinational employer,20 to 24
College degree,"Bulacan, Philippines",Philippines,Male,"Datacamp, LeetCode, W3Schools",Banking / Finance / Insurance,Career shifter,Work city same as residence,Quezon City,"15,001 to 25,000",Part-time,100% onsite,Business Analyst,Data Analyst,1 - Just me,  ,_,., ,N/A,.,NA,na,., ,"Excel, MS Teams",R,Chatgpt, ,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.", ,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors","A number of contents every week. For instance, 3 posts in a span of a week. Simple topics like top 3 most question asked during Data analytics interview. Basic SQL-answered content. :)",My network  - people I know,Multinational employer,25 to 29
College degree,"Davao City, Philippines",Philippines,Male,"AWS Cloud Certification, Codecademy, Coursera, Datacamp, edX, Freecodecamp, Git Hub Learning Lab, Google Analytics, Google Developers, HackerRank, IBM Skills Gateway, Kaggle Online course, Khan Academy, MicrosoftLearn, Real Python, Udacity, Udemy, W3Schools, Youtube bootcamp, Zoomcamp",Not working,Career shifter,Work city different from residence,US,"35,001 to 45,000",Freelance,Mostly work from home/ fully remote,Data Analyst,"Management, Business Analyst, Finance Analyst",2 to 3,N/A,NONE,"Databricks, Big Query, Snowflake","Airflow, Dagster",_,NONE,  ,Datahub,"Amazon Web Services (AWS), Microsoft Azure, Snowflake, Databricks",na,"Excel, OneDrive, Zoom, MS Teams, Google Meet",.,"Chatgpt, Gemini",None,desktop,"No, I just found out now.",  ,NONE,Continued learning,"Answer surveys, Joint initiative with other groups, Mentor, Co-training/ Training, Volunteer for group initiatives",_,"LinkedIn, OnlineJobs.ph, My network  - people I know",NA,30 to 34
College degree,Laguna,Philippines,Male,"Datacamp, MicrosoftLearn, Udemy","IT, BPO, and Business Services",Career shifter,Work city different from residence,Makati City,"25,001 to 35,000",Full-time,Hybrid,Data Analyst,Academic,1 - Just me,SSIS,"Pandas, ","Don't know, None","Don't know, None",Tableau,"Don't know, None","Don't know, None","Don't know, None",Google Cloud Platform (GCP),Don't know,"Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack, Discord","Javascript, SQL, Typescript","Chatgpt, Claude, Gemini",none,laptop,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, Robotic Process Automation (RPA) - Manila","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys, ,"LinkedIn, Glassdoor",Multinational employer,20 to 24
College degree,"Malay, Aklan Philippines",Philippines,Male,"Datacamp, Udemy, W3Schools",Not working,Student/ New grad/ Career Break,na,_,,N/A,NONE,_,N/A, ,_,.,  ,.,NONE,., ,.,none,NA,"Excel, Google Drive, Discord",SQL,"Chatgpt, Claude, Gemini, Perplexity",N/A,workstation,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",None,"Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Volunteer for group initiatives",N/A,NONE,  ,20 to 24
Master's degree,"Quezon City, Philippines",Philippines,Male,"O'Reilly Online Learning, Gartner","IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,"125,001 to 250,000",Full-time,Hybrid,Software Engineer,Data Analyst,1 - Just me,None,"Pandas, dbt",  ,None,"Looker, Power BI",na,NA,., ,na,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",na,"Chatgpt, Datalab",.,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","DataScience.PH, DEVCON Philippines, Eskwelabs Data Science Aral-Aral Group, PyData Philippines, Python Philippines","Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Volunteer for group initiatives",N/A,LinkedIn,Multinational employer,35 to 39
College degree,"Camarines Sur, Bicol Region, Philippines",Philippines,Male,"Google Analytics, Kaggle Online course",Not working,Student/ New grad/ Career Break,na,NONE,,NA,none,  ,  ,N/A,  ,.,NA, ,na,_,NONE,.,_,na,"Google sheets, Google Drive, Zoom, Google Meet, Discord",Python,"No, I do not use AI currently","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",AI Pilipinas,"Continued learning, Upskill / Skill acquisition",N/A,na,none, ,25 to 29
College degree,"Manila, Philippines",Philippines,Male,Coursera,Energy,Career shifter,Work city different from residence,Work from home,"125,001 to 250,000",Full-time,100% onsite,Process Executive (Agent),"Management, Business Analyst, Software Engineer, Developer, Process Improvement, Innovation and Transformation",2 to 3,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Amazon Web Services (AWS),Oracle Database,"Google sheets, Excel, Google Drive, OneDrive, Asana, Zoom, MS Teams, Google Meet, Slack, Discord",SQL,  ,None,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Analytics Philippines,"Decision to shift, Network, Other - specify","Answer surveys, Joint initiative with other groups",_,LinkedIn,Local employer,30 to 34
College degree,North Luzon (Benguet Province),Philippines,Prefer not to say,Khan Academy,Not working,Student/ New grad/ Career Break, ,None,,na,  ,None,NA,none,  ,None,NA,  ,None,N/A,N/A,_,none, ,"Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",none yet,Copilot,None,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",na,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Resource for specific topic",none, ,Unemployed,20 to 24
College degree,Bacoor City,Philippines,Female,"Cisco, Coursera, Freecodecamp, LinkedIn Learning, Udemy, W3Schools",Healthcare,Career shifter,Work city same as residence,Singapore,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Management, Data Analyst",2 to 3,Don't know,"Pandas, Spark",Don't know,Don't know,Power BI,Don't know,Don't know,Don't know,Don't know,Don't know,"Google sheets, Excel, Google Drive, Zoom, Google Meet, Slack",SQL,Chatgpt,Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, FTW Foundation, Women Who Code Manila","Career advancement, Continued learning, Network","Answer surveys, Joint initiative with other groups",Discord is best for me as it is not connected to my personal FB account.,"LinkedIn, Indeed",Independent contractor,30 to 34
College degree,"Ozamiz City, Philippines",Philippines,Female,"Datacamp, LinkedIn Learning, MicrosoftLearn, Udemy",Education,Student/ New grad/ Career Break,NA,na,,NONE,.,None,.,none,N/A,.,NA,None, ,_,.,na, ,_,"Google sheets, Excel, Google Drive, Trello, MS Teams, Google Meet",None,"Chatgpt, Claude, Gemini, Perplexity", ,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",.,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",.,NONE,Local employer,20 to 24
Secondary school student,"Caloocan, Philippines",Philippines,Male,Not currently using any digital tools for learning,Not working,Student/ New grad/ Career Break,None,.,,NA,.,None,N/A,_,None, ,NONE,None,NA,NA,NA, ,  ,na,"Excel, Google Drive, MS Teams, Google Meet, Discord","Javascript, Python, SQL",NONE,NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Java User Group Philippines, Filipino Web Development Peers","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives",Currently don't have any for now,na,_,20 to 24
College degree,Baliwag City,Philippines,Male,"Cisco, Coursera, Datacamp, Git Hub Learning Lab, Google Analytics, IBM Skills Gateway, Kaggle Online course, LinkedIn Learning, MicrosoftLearn, Udemy","IT, BPO, and Business Services",Student/ New grad/ Career Break,_, ,,NA,_,NONE,.,NONE,.,  ,NONE,.,_,NONE,.,N/A,NONE,NONE,"Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, SQL",Chatgpt,N/A,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, Data Analytics Philippines, Datasense Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",None, ,  ,40 to 44
College degree,"Taguig, Philippines",Philippines,Female,"Coursera, Datacamp, LinkedIn Learning, Udemy, W3Schools","IT, BPO, and Business Services",Professional,Work city same as residence,Quezon City,"125,001 to 250,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Data Engineer, Business Analyst",6 to 10,Don't know,Pandas,  ,NA, ,_,none,_,Amazon Web Services (AWS),none,"Google sheets, Excel, Google Drive, OneDrive, MS Teams","Appscript (Google), Python, R, SQL, VBA","Chatgpt, Copilot",Kaggle Notebooks,laptop,"No, I just found out now.",_,"Datasense Philippines, FTW Foundation, PyData Philippines, AWS User Group Philippines","Career advancement, Decision to shift, Upskill / Skill acquisition, Network","Connect with sponsors, Co-training/ Training",I'm already seeing some helpful resources being shared to this group and I just want this group to keep that up. I'm so happy that this group exists,OnlineJobs.ph,Multinational employer,40 to 44
College degree,"Taytay, Philippines",Philippines,Female,Youtube bootcamp,Career shifters ,Student/ New grad/ Career Break,N/A,  ,,  ,none,N/A,  ,NONE,None,N/A, ,_,.,NA,  ,  ,None,na,"Google sheets, Excel, Google Drive, OneDrive, Trello, Zoom, MS Teams, Discord","Python, R, SQL",., ,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, AWS AI/ML, Big Data Analytics PH, Data Analytics Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation, Power BI Philippines UG, Women Who Code Manila","Career advancement, Decision to shift","Answer surveys, Coordinate during events", ,na,None,20 to 24
